"Label (Grouping)","Albemarle County, Virginia!!Estimate","Albemarle County, Virginia!!Margin of Error","Arlington County, Virginia!!Estimate","Arlington County, Virginia!!Margin of Error","Augusta County, Virginia!!Estimate","Augusta County, Virginia!!Margin of Error","Bedford County, Virginia!!Estimate","Bedford County, Virginia!!Margin of Error","Chesterfield County, Virginia!!Estimate","Chesterfield County, Virginia!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Fauquier County, Virginia!!Estimate","Fauquier County, Virginia!!Margin of Error","Frederick County, Virginia!!Estimate","Frederick County, Virginia!!Margin of Error","Hanover County, Virginia!!Estimate","Hanover County, Virginia!!Margin of Error","Henrico County, Virginia!!Estimate","Henrico County, Virginia!!Margin of Error","James City County, Virginia!!Estimate","James City County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error","Montgomery County, Virginia!!Estimate","Montgomery County, Virginia!!Margin of Error","Prince William County, Virginia!!Estimate","Prince William County, Virginia!!Margin of Error","Roanoke County, Virginia!!Estimate","Roanoke County, Virginia!!Margin of Error","Rockingham County, Virginia!!Estimate","Rockingham County, Virginia!!Margin of Error","Spotsylvania County, Virginia!!Estimate","Spotsylvania County, Virginia!!Margin of Error","Stafford County, Virginia!!Estimate","Stafford County, Virginia!!Margin of Error","York County, Virginia!!Estimate","York County, Virginia!!Margin of Error","Alexandria city, Virginia!!Estimate","Alexandria city, Virginia!!Margin of Error","Chesapeake city, Virginia!!Estimate","Chesapeake city, Virginia!!Margin of Error","Hampton city, Virginia!!Estimate","Hampton city, Virginia!!Margin of Error","Lynchburg city, Virginia!!Estimate","Lynchburg city, Virginia!!Margin of Error","Newport News city, Virginia!!Estimate","Newport News city, Virginia!!Margin of Error","Norfolk city, Virginia!!Estimate","Norfolk city, Virginia!!Margin of Error","Portsmouth city, Virginia!!Estimate","Portsmouth city, Virginia!!Margin of Error","Richmond city, Virginia!!Estimate","Richmond city, Virginia!!Margin of Error","Roanoke city, Virginia!!Estimate","Roanoke city, Virginia!!Margin of Error","Suffolk city, Virginia!!Estimate","Suffolk city, Virginia!!Margin of Error","Virginia Beach city, Virginia!!Estimate","Virginia Beach city, Virginia!!Margin of Error","United States!!Estimate","United States!!Margin of Error"
"Total:","110,956","±580","225,015","±860","75,779","±578","78,188","±271","358,060","±1,357","1,100,066","±2,198","72,070","±530","90,461","±679","108,354","±631","324,840","±1,174","78,248","±589","411,137","±1,382","96,437","±501","464,208","±1,648","94,383","±507","81,469","±616","138,382","±562","155,917","±885","68,708","±546","148,513","±1,049","241,999","±1,088","132,291","±791","77,129","±781","176,301","±831","226,085","±1,063","93,285","±1,037","218,633","±1,210","95,000","±907","92,833","±685","441,985","±1,639","321,081,959","±40,699"
"    Enrolled in school:","33,459","±1,916","47,836","±2,182","15,292","±1,463","17,477","±1,366","92,133","±3,011","295,490","±5,068","17,359","±1,497","21,185","±1,831","25,001","±1,380","76,167","±2,937","17,953","±1,519","121,490","±2,921","41,113","±2,154","133,879","±3,650","20,752","±1,342","19,762","±1,504","36,007","±1,702","49,568","±2,196","18,790","±1,583","28,037","±1,688","65,565","±3,337","31,941","±1,910","29,267","±2,211","45,700","±2,659","59,403","±2,983","20,333","±1,870","50,887","±2,080","21,374","±2,043","22,609","±1,445","106,331","±4,077","79,453,524","±93,026"
"        Enrolled in nursery school, preschool","1,539","±677","3,652","±925","781","±374","894","±397","4,903","±1,017","17,125","±2,017","1,267","±462","1,197","±633","1,391","±517","4,423","±1,036","854","±423","7,073","±1,455","787","±578","4,394","±1,271","1,016","±527","769","±442","1,849","±554","1,851","±789","376","±267","1,866","±701","2,931","±892","869","±398","928","±652","1,464","±543","2,703","±838","878","±574","2,354","±869","1,512","±848","1,400","±540","6,122","±1,496","4,095,935","±42,285"
"        Enrolled in kindergarten","1,393","±684","2,762","±903","830","±514","969","±467","5,216","±1,166","14,118","±1,613","1,081","±518","1,607","±563","988","±479","3,728","±947","961","±541","8,013","±1,735","669","±395","6,249","±1,306","1,155","±588","914","±357","2,636","±894","2,231","±711","1,043","±477","1,439","±707","2,313","±933","750","±397","782","±547","2,552","±1,146","1,806","±650","437","±297","2,211","±771","1,735","±828","1,599","±604","4,600","±1,133","4,011,805","±37,602"
"        Enrolled in grade 1 to grade 4","4,331","±1,129","9,837","±1,266","3,470","±713","3,496","±894","19,513","±2,096","56,213","±2,684","3,820","±1,014","4,047","±818","4,947","±793","17,186","±1,782","3,303","±829","24,882","±2,358","3,389","±692","30,060","±2,273","4,209","±1,083","3,865","±781","7,798","±1,417","9,074","±1,392","3,542","±813","6,296","±1,167","12,389","±1,754","6,239","±1,275","1,799","±800","8,650","±1,203","8,396","±1,406","5,155","±1,108","8,271","±913","4,228","±1,173","4,792","±900","20,032","±2,018","15,768,181","±63,099"
"        Enrolled in grade 5 to grade 8","5,634","±1,081","7,839","±1,182","3,616","±937","3,549","±875","21,096","±2,437","61,440","±2,999","3,160","±826","4,373","±964","6,037","±878","16,488","±1,920","3,445","±930","25,660","±2,110","3,983","±952","29,232","±2,451","3,328","±656","4,069","±750","7,474","±1,166","10,524","±1,383","4,258","±894","4,950","±1,396","14,935","±1,867","7,773","±1,221","4,382","±830","9,510","±1,518","10,701","±1,355","5,106","±1,016","8,051","±1,054","5,078","±1,464","4,705","±1,068","23,712","±2,066","17,087,338","±70,782"
"        Enrolled in grade 9 to grade 12","6,015","±1,012","8,602","±940","3,633","±631","3,868","±718","19,305","±1,631","65,470","±2,099","3,971","±793","5,833","±710","6,110","±670","18,552","±1,463","5,328","±1,131","29,893","±1,860","3,019","±529","29,874","±1,446","5,461","±805","4,345","±525","8,875","±959","11,792","±1,533","4,393","±846","4,588","±916","15,646","±1,466","6,404","±974","3,936","±746","9,763","±1,037","9,337","±1,064","5,251","±996","7,151","±886","4,001","±1,130","4,638","±902","22,713","±1,454","17,293,504","±54,092"
"        Enrolled in college, undergraduate years","11,336","±1,555","5,675","±1,366","2,596","±816","3,380","±1,002","15,366","±2,389","58,440","±4,385","3,197","±1,075","2,776","±1,034","4,280","±926","11,018","±2,141","3,287","±1,234","19,116","±1,924","24,233","±1,744","24,772","±2,801","4,517","±1,096","4,777","±1,225","5,652","±1,101","9,051","±1,386","3,907","±1,372","4,792","±1,011","13,616","±2,461","8,313","±1,419","14,530","±1,718","10,716","±1,910","21,036","±2,550","2,868","±1,015","17,324","±1,579","2,947","±900","3,735","±852","22,460","±3,006","16,602,208","±65,039"
"        Graduate or professional school","3,211","±973","9,469","±1,688","366","±308","1,321","±539","6,734","±1,925","22,684","±2,466","863","±783","1,352","±743","1,248","±661","4,772","±1,612","775","±510","6,853","±1,553","5,033","±1,367","9,298","±1,659","1,066","±434","1,023","±513","1,723","±613","5,045","±1,390","1,271","±612","4,106","±1,011","3,735","±1,317","1,593","±823","2,910","±1,258","3,045","±1,073","5,424","±1,235","638","±454","5,525","±1,246","1,873","±780","1,740","±796","6,692","±1,593","4,594,553","±43,269"
"    Not enrolled in school","77,497","±1,862","177,179","±2,235","60,487","±1,267","60,711","±1,415","265,927","±3,506","804,576","±5,401","54,711","±1,436","69,276","±1,747","83,353","±1,331","248,673","±3,126","60,295","±1,565","289,647","±3,002","55,324","±2,077","330,329","±3,834","73,631","±1,323","61,707","±1,526","102,375","±1,678","106,349","±2,273","49,918","±1,707","120,476","±1,797","176,434","±3,318","100,350","±2,014","47,862","±1,873","130,601","±2,747","166,682","±2,921","72,952","±1,813","167,746","±2,219","73,626","±1,626","70,224","±1,557","335,654","±3,948","241,628,435","±93,194"